Model,Dice,IoU,Precision,Recall,F2,MAE
UNET-Vanilla,0.4614,0.3384,0.4347,0.6445,0.5284,0.2018
UNET-Pretrained,0.8501,0.7718,0.8324,0.9137,0.8765,0.0795
