run,dice,dice_mean,dice_std,iou,iou_mean,iou_std,precision,precision_mean,precision_std,recall,recall_mean,recall_std,f2,f2_mean,f2_std,boundary_f1,boundary_f1_mean,boundary_f1_std,pointing_game,pointing_game_mean,pointing_game_std
Kvasir-test,0.8668 +/- 0.1912,0.8668,0.1912,0.8016 +/- 0.2209,0.8016,0.2209,0.8711 +/- 0.1915,0.8711,0.1915,0.9091 +/- 0.1847,0.9091,0.1847,0.8848 +/- 0.1837,0.8848,0.1837,0.6339 +/- 0.2179,0.6339,0.2179,0.9800 +/- 0.1400,0.98,0.14
CVC-external,0.7889 +/- 0.2464,0.7889,0.2464,0.7041 +/- 0.2633,0.7041,0.2633,0.7949 +/- 0.2596,0.7949,0.2596,0.8530 +/- 0.2458,0.853,0.2458,0.8147 +/- 0.2395,0.8147,0.2395,0.5480 +/- 0.2449,0.548,0.2449,0.9624 +/- 0.1902,0.9624,0.1902
