Split,dice,iou,precision,recall,f2,boundary_f1,pointing_game,peak_center_dist
Validation,0.917 ± 0.109,0.861 ± 0.139,0.915 ± 0.126,0.932 ± 0.109,0.924 ± 0.108,0.694 ± 0.186,0.990 ± 0.100,29.6 ± 21.4
Test,0.867 ± 0.191,0.802 ± 0.221,0.871 ± 0.192,0.909 ± 0.185,0.885 ± 0.184,0.634 ± 0.218,0.980 ± 0.140,28.3 ± 22.4
