group,n,pg_mean,pg_std,pcd_mean,pcd_std
CVC external,612,0.28921568627450983,0.4533982499825888,52.32703776709249,23.957909995481177
Kvasir test,100,0.47,0.4990991885387111,51.34367414219465,25.88144291548267
