Evaluation,dice,iou,precision,recall,f2,boundary_f1,pointing_game,peak_center_dist
Kvasir test,0.867 +/- 0.191,0.802 +/- 0.221,0.871 +/- 0.192,0.909 +/- 0.185,0.885 +/- 0.184,0.634 +/- 0.218,0.980 +/- 0.140,28.3 +/- 22.4
CVC external,0.789 +/- 0.246,0.704 +/- 0.263,0.795 +/- 0.260,0.853 +/- 0.246,0.815 +/- 0.239,0.548 +/- 0.245,0.962 +/- 0.190,28.2 +/- 27.7
