seed,epoch,train_loss,val_loss,val_dice
6,1,0.947822,0.662306,0.755234
6,2,0.549222,0.528134,0.822879
6,3,0.38252,0.421804,0.8411
6,4,0.299109,0.392078,0.847635
6,5,0.248637,0.327302,0.872496
6,6,0.202169,0.344098,0.86782
6,7,0.150868,0.314693,0.876159
6,8,0.135555,0.346028,0.84996
6,9,0.125257,0.394433,0.853679
6,10,0.12281,0.457008,0.823409
6,11,0.096472,0.29872,0.878747
6,12,0.095423,0.350686,0.864263
6,13,0.108187,0.422202,0.847493
6,14,0.133966,0.315842,0.868947
6,15,0.086228,0.297722,0.859722
6,16,0.099065,0.303501,0.879974
6,17,0.070625,0.316519,0.881867
6,18,0.062743,0.32104,0.878647
6,19,0.055119,0.365219,0.872497
6,20,0.049991,0.330739,0.881957
