seed,epoch,train_loss,val_loss,val_dice
3,1,1.01698,0.790047,0.724356
3,2,0.661521,0.586606,0.792109
3,3,0.476515,0.482431,0.82616
3,4,0.364161,0.452386,0.831524
3,5,0.281283,0.426419,0.85209
3,6,0.244898,0.426886,0.821449
3,7,0.225958,0.419211,0.845101
3,8,0.191041,0.40414,0.856002
3,9,0.147108,0.367606,0.861674
3,10,0.134475,0.434429,0.844192
3,11,0.117252,0.33293,0.866332
3,12,0.103883,0.359388,0.846518
3,13,0.09025,0.399845,0.847957
3,14,0.089018,0.402114,0.84781
3,15,0.081645,0.438551,0.828335
3,16,0.074509,0.353679,0.864379
3,17,0.068548,0.394618,0.848861
3,18,0.061261,0.360695,0.869268
3,19,0.052813,0.417136,0.856581
3,20,0.048836,0.391875,0.861801
