seed,epoch,train_loss,val_loss,val_dice
9,1,0.950163,0.683836,0.735826
9,2,0.55569,0.515196,0.805726
9,3,0.39218,0.427527,0.808806
9,4,0.298335,0.366189,0.840624
9,5,0.23059,0.377458,0.859235
9,6,0.194243,0.405631,0.830152
9,7,0.171543,0.336304,0.847877
9,8,0.145273,0.373622,0.842145
9,9,0.165339,0.335573,0.853379
9,10,0.159846,0.346322,0.848017
9,11,0.159406,0.340838,0.852717
9,12,0.108731,0.338707,0.861328
9,13,0.093284,0.386775,0.852717
9,14,0.079864,0.357507,0.865631
9,15,0.070629,0.313653,0.876572
9,16,0.064214,0.341444,0.870673
9,17,0.066744,0.348858,0.859242
9,18,0.067935,0.391038,0.86157
9,19,0.065279,0.366043,0.861941
9,20,0.057292,0.357239,0.876819
