seed,epoch,train_loss,val_loss,val_dice
4,1,1.093714,0.839565,0.71637
4,2,0.747767,0.646145,0.819562
4,3,0.552248,0.538651,0.835534
4,4,0.43362,0.43039,0.856558
4,5,0.346638,0.413318,0.85912
4,6,0.275117,0.395307,0.847225
4,7,0.234427,0.387975,0.841115
4,8,0.213321,0.41286,0.813174
4,9,0.178492,0.374044,0.843918
4,10,0.161039,0.343429,0.864167
4,11,0.131124,0.323697,0.864218
4,12,0.115007,0.319596,0.871949
4,13,0.120386,0.34691,0.864183
4,14,0.112919,0.340311,0.866565
4,15,0.094842,0.333389,0.871176
4,16,0.081249,0.27804,0.88919
4,17,0.090259,0.509791,0.818089
4,18,0.08557,0.278097,0.88528
4,19,0.066306,0.29757,0.882055
4,20,0.077417,0.41516,0.845782
