seed,epoch,train_loss,val_loss,val_dice
1,1,0.99335,0.670166,0.748908
1,2,0.625332,0.580524,0.810587
1,3,0.44077,0.442073,0.837705
1,4,0.354564,0.485471,0.812077
1,5,0.281022,0.341133,0.873864
1,6,0.228713,0.374913,0.867609
1,7,0.194797,0.428573,0.832102
1,8,0.191324,0.346619,0.865936
1,9,0.177225,0.358486,0.867731
1,10,0.171121,0.364317,0.850462
1,11,0.129295,0.307539,0.869212
1,12,0.110279,0.363954,0.869851
1,13,0.091139,0.410024,0.860574
1,14,0.082881,0.361414,0.873806
1,15,0.075371,0.367291,0.874707
1,16,0.067288,0.352199,0.875428
1,17,0.063108,0.395471,0.865651
1,18,0.056883,0.372008,0.876243
1,19,0.052602,0.356999,0.879362
1,20,0.049841,0.347423,0.882863
