seed,epoch,train_loss,val_loss,val_dice
0,1,1.315121,1.016624,0.727913
0,2,0.933975,0.822086,0.78093
0,3,0.736491,0.692422,0.82017
0,4,0.569816,0.548868,0.842327
0,5,0.419741,0.477544,0.84366
0,6,0.344617,0.417572,0.857391
0,7,0.293945,0.417642,0.854101
0,8,0.238378,0.312573,0.878662
0,9,0.184884,0.278309,0.90108
0,10,0.166539,0.28877,0.88156
0,11,0.207969,0.441961,0.831959
0,12,0.169333,0.324957,0.864192
0,13,0.127522,0.307337,0.8754
0,14,0.109485,0.301526,0.878248
0,15,0.09887,0.27833,0.887461
0,16,0.084513,0.258264,0.891077
0,17,0.078055,0.276184,0.888625
0,18,0.074904,0.280376,0.879823
0,19,0.070918,0.276624,0.88773
0,20,0.065507,0.274274,0.887963
