dataset,seeds,n_per_seed,dice_mean,dice_sd,iou_mean,iou_sd,precision_mean,precision_sd,recall_mean,recall_sd,f2_mean,f2_sd,pointing_game_mean,pointing_game_sd,peak_center_dist_mean,peak_center_dist_sd
Kvasir test,10,100,0.8543,0.0147,0.7838,0.0174,0.883,0.0185,0.8717,0.0153,0.8602,0.0134,0.978,0.0063,40.2948,4.1677
CVC external,10,612,0.7462,0.0326,0.6635,0.0319,0.7891,0.0303,0.7817,0.0433,0.7591,0.0369,0.9232,0.0217,39.9351,5.5626
