seed,epoch,train_loss,val_loss,val_dice
5,1,1.210619,0.923728,0.699763
5,2,0.816525,0.689187,0.819042
5,3,0.610549,0.578521,0.823744
5,4,0.479487,0.547191,0.818319
5,5,0.3804,0.443452,0.856596
5,6,0.289772,0.422532,0.852098
5,7,0.240091,0.352935,0.862561
5,8,0.197177,0.364002,0.863647
5,9,0.170508,0.398489,0.841858
5,10,0.220105,0.358982,0.857171
5,11,0.180812,0.39352,0.86087
5,12,0.133278,0.311988,0.883489
5,13,0.109806,0.323246,0.872375
5,14,0.095283,0.288313,0.887758
5,15,0.08773,0.29739,0.884284
5,16,0.097652,0.335128,0.875541
5,17,0.080775,0.311808,0.883784
5,18,0.074191,0.409141,0.842632
5,19,0.067359,0.32325,0.883663
5,20,0.063478,0.31349,0.883736
