seed,epoch,train_loss,val_loss,val_dice
2,1,0.95861,0.734445,0.767177
2,2,0.593487,0.554467,0.815369
2,3,0.425353,0.496945,0.826696
2,4,0.330432,0.418323,0.822369
2,5,0.253672,0.366672,0.847303
2,6,0.224524,0.325469,0.857079
2,7,0.223454,0.414851,0.831676
2,8,0.190376,0.348481,0.849756
2,9,0.148035,0.347529,0.847229
2,10,0.127895,0.325978,0.859199
2,11,0.11428,0.281552,0.880138
2,12,0.093357,0.286234,0.876728
2,13,0.086142,0.312323,0.862656
2,14,0.076354,0.293164,0.893677
2,15,0.0702,0.296908,0.882244
2,16,0.065483,0.359243,0.866212
2,17,0.066646,0.337704,0.863571
2,18,0.062875,0.294186,0.881473
2,19,0.058013,0.411958,0.846396
2,20,0.05239,0.371703,0.866826
