seed,epoch,train_loss,val_loss,val_dice
7,1,0.862845,0.712477,0.691118
7,2,0.529674,0.582697,0.734324
7,3,0.357791,0.484603,0.804138
7,4,0.283772,0.447161,0.815099
7,5,0.243058,0.540497,0.773306
7,6,0.192736,0.44546,0.796682
7,7,0.160285,0.424481,0.832574
7,8,0.138233,0.393969,0.827782
7,9,0.113889,0.463306,0.79758
7,10,0.108154,0.377384,0.8431
7,11,0.092467,0.38832,0.841694
7,12,0.11545,0.555131,0.788921
7,13,0.11329,0.643056,0.732209
7,14,0.141871,0.376019,0.853333
7,15,0.096785,0.455302,0.830914
7,16,0.099197,0.415767,0.848206
7,17,0.078564,0.443718,0.830574
7,18,0.068301,0.408818,0.847866
7,19,0.057765,0.513404,0.833349
7,20,0.053856,0.464852,0.840479
